Round,Match,Player 1,P1 Country,P1 Seed,Player 2,P2 Country,P2 Seed,Set 1,Set 2,Set 3,Set 4,Set 5,Notes
1,1,Maria Sharapova *,RUS,1,Camille Pin,FRA,,6 - 3,4 - 6,9 - 7,,,
1,2,Roberta Vinci,ITA,,Anastassia Rodionova *,RUS,,3 - 6,1 - 6,,,,
1,3,Renata Voracova *,CZE,,Meghann Shaughnessy,USA,,7 - 5,6 - 3,,,,
1,4,Emmanuelle Gagliardi,SUI,,Tathiana Garbin *,ITA,30,6 - 3,2 - 6,1 - 6,,,
1,5,Vera Zvonareva *,RUS,22,Tzipora Obziler,ISR,,6 - 3,6 - 4,,,,
1,6,Tamira Paszek *,AUT,,Severine Bremond,FRA,,6 - 1,6 - 4,,,,
1,7,Varvara Lepchenko,UZB,,Agnieszka Radwanska *,POL,,7 - 5,3 - 6,2 - 6,,,
1,8,Vania King,USA,,Ana Ivanovic *,SRB,13,2 - 6,0 - 6,,,,
1,9,Anna Chakvetadze *,RUS,12,Sybille Bammer,AUT,,6 - 4,7 - 5,,,,
1,10,Yulia Beygelzimer,UKR,,Laura Granville *,USA,,2 - 6,3 - 6,,,,
1,11,Sophie Ferguson,AUS,,Jelena Kostanic Tosic *,CRO,,5 - 7,3 - 6,,,,
1,12,Klara Zakopalova,CZE,,Samantha Stosur *,AUS,24,3 - 6,1 - 6,,,,
1,13,Flavia Pennetta,ITA,28,Kaia Kanepi *,EST,,5 - 7,6 - 7 (3 - 7),,,,
1,14,Yung-Jan Chan,TPE,,Alicia Molik *,AUS,,2 - 6,6 - 7 (4 - 7),,,,
1,15,Andreja Klepac,SLO,,Shuai Peng *,CHN,,3 - 6,6 - 4,1 - 6,,,
1,16,Madison Brengle,USA,,Patty Schnyder *,SUI,8,3 - 6,4 - 6,,,,
1,17,Kim Clijsters *,BEL,4,Vasilisa Bardina,RUS,,6 - 0,6 - 0,,,,
1,18,Akiko Morigami *,JPN,,Tsvetana Pironkova,BUL,,7 - 5,2 - 6,6 - 4,,,
1,19,Nicole Pratt,AUS,,Virginie Razzano *,FRA,,7 - 6 (10 - 8),4 - 6,0 - 6,,,
