Round,Match,Player 1,P1 Country,P1 Seed,Player 2,P2 Country,P2 Seed,Set 1,Set 2,Set 3,Set 4,Set 5,Notes
1,1,Novak Djokovic *,SRB,1,Aljaz Bedene,SLO,,6 - 3,6 - 2,6 - 4,,,
1,2,Andrey Kuznetsov *,RUS,,Albert Ramos-Vinolas,ESP,,6 - 1,3 - 6,6 - 3,7 - 6 (7 - 3),,
1,3,Go Soeda *,JPN,,Elias Ymer,SWE,,1 - 6,6 - 4,4 - 6,6 - 3,6 - 3,
1,4,James Ward,GBR,,Fernando Verdasco *,ESP,31,6 - 2,0 - 6,6 - 7 (6 - 8),3 - 6,,
1,5,John Isner *,USA,19,Jimmy Wang,TPE,,7 - 6 (7 - 5),6 - 4,6 - 4,,,
1,6,Laurent Lokoli,FRA,,Andreas Haider-Maurer *,AUT,,4 - 6,5 - 7,6 - 4,3 - 6,,
1,7,Pablo Carreno Busta,ESP,,Gilles Muller *,LUX,,4 - 6,6 - 7 (5 - 7),6 - 7 (3 - 7),,,
1,8,Dominic Thiem,AUT,,Roberto Bautista Agut *,ESP,13,6 - 4,2 - 6,3 - 6,6 - 7 (5 - 7),,
1,9,Feliciano Lopez *,ESP,12,Denis Kudla,USA,,3 - 6,6 - 2,4 - 6,6 - 2,10 - 8,
1,10,Blaz Rola,SLO,,Adrian Mannarino *,FRA,,6 - 7 (7 - 9),3 - 6,2 - 6,,,
1,11,Hiroki Moriya,JPN,,Jerzy Janowicz *,POL,,6 - 7 (5 - 7),6 - 2,3 - 6,5 - 7,,
1,12,Lucas Pouille,FRA,,Gael Monfils *,FRA,17,7 - 6 (7 - 3),6 - 3,4 - 6,1 - 6,4 - 6,
1,13,Julien Benneteau,FRA,25,Benjamin Becker *,GER,,5 - 7,7 - 5,2 - 6,4 - 6,,
1,14,Lleyton Hewitt *,AUS,,Ze Zhang,CHN,,6 - 3,1 - 6,6 - 0,6 - 4,,
