Round,Match,Player 1,P1 Country,P1 Seed,Player 2,P2 Country,P2 Seed,Set 1,Set 2,Set 3,Set 4,Set 5,Notes
1,1,Rafael Nadal *,ESP,1,Marcos Daniel,BRA,,7 - 5,6 - 4,6 - 3,,,
1,2,Igor Kunitsyn,RUS,,Teimuraz Gabashvili *,RUS,,7 - 6 (8 - 6),6 - 7 (5 - 7),3 - 6,1 - 6,,
1,3,Denis Gremelmayr,GER,,Andrey Golubev *,KAZ,,3 - 6,3 - 6,2 - 6,,,
1,4,Lleyton Hewitt *,AUS,,Ivo Karlovic,CRO,26,6 - 7 (1 - 7),6 - 7 (4 - 7),7 - 6 (7 - 4),6 - 4,6 - 3,
1,5,Robin Soderling *,SWE,23,Kevin Kim,USA,,7 - 6 (7 - 4),7 - 6 (7 - 4),6 - 2,,,
1,6,Denis Istomin *,UZB,,Santiago Giraldo,COL,,6 - 3,6 - 7 (2 - 7),6 - 3,7 - 6 (7 - 4),,
1,7,Ilia Bozoljac,SRB,,Nicolas Kiefer *,GER,,6 - 7 (4 - 7),6 - 3,5 - 7,4 - 6,,
1,8,Frederico Gil,POR,,David Ferrer *,ESP,14,2 - 6,4 - 6,4 - 6,,,
1,9,Nikolay Davydenko *,RUS,10,Stefan Koubek,AUT,,6 - 2,6 - 1,6 - 4,,,
1,10,Diego Junqueira *,ARG,,Paul Capdeville,CHI,,3 - 6,7 - 5,6 - 1,6 - 3,,
1,11,Nicolas Massu *,CHI,,Daniel Koellerer,AUT,,6 - 3,6 - 4,1 - 6,2 - 6,6 - 3,
1,12,Nicolas Devilder,FRA,,Stanislas Wawrinka *,SUI,17,3 - 6,7 - 5,6 - 2,4 - 6,4 - 6,
1,13,Nicolas Almagro *,ESP,31,Agustin Calleri,ARG,,6 - 4,6 - 1,6 - 3,,,
1,14,Ernests Gulbis *,LAT,,Sam Querrey,USA,,7 - 6 (7 - 1),6 - 1,3 - 6,6 - 1,,
1,15,Peter Polansky,CAN,,Philipp Petzschner *,GER,,7 - 5,2 - 6,6 - 7 (4 - 7),6 - 4,3 - 6,
1,16,Florent Serra,FRA,,Fernando Verdasco *,ESP,8,2 - 6,1 - 6,4 - 6,,,
1,17,Andy Murray *,GBR,3,Juan Ignacio Chela,ARG,,6 - 2,6 - 2,6 - 1,,,
1,18,Mischa Zverev,GER,,Potito Starace *,ITA,,7 - 6 (7 - 5),5 - 7,0 - 1,,,Retired
1,19,Janko Tipsarevic *,SRB,,Albert Montanes,ESP,,3 - 6,7 - 6 (7 - 3),7 - 6 (7 - 5),6 - 4,,
1,20,Franco Ferreiro,BRA,,Feliciano Lopez *,ESP,28,7 - 6 (7 - 3),6 - 4,6 - 7 (4 - 7),5 - 7,2 - 6,
1,21,Radek Stepanek *,CZE,18,Gaston Gaudio,ARG,,6 - 3,6 - 4,6 - 1,,,
1,22,Yen-Hsun Lu,TPE,,Mathieu Montcourt *,FRA,,2 - 6,,,,,Retired
1,23,Dudi Sela *,ISR,,Jean-Rene Lisnard,MON,,6 - 4,6 - 3,4 - 6,6 - 3,,
1,24,Jan Hernych,CZE,,Marin Cilic *,CRO,13,0 - 6,4 - 6,3 - 6,,,
1,25,Fernando Gonzalez *,CHI,12,Jiri Vanek,CZE,,6 - 3,6 - 2,6 - 3,,,
1,26,Rui Machado *,POR,,Kristof Vliegen,BEL,,6 - 2,6 - 4,4 - 6,2 - 6,6 - 3,
1,27,Marcel Granollers,ESP,,Josselin Ouanna *,FRA,,5 - 7,6 - 2,6 - 3,6 - 7 (2 - 7),1 - 6,
1,28,Alexandre Sidorenko,FRA,,Marat Safin *,RUS,20,4 - 6,4 - 6,4 - 6,,,
1,29,Victor Hanescu *,ROU,30,Steve Darcis,BEL,,7 - 6 (10 - 8),7 - 6 (7 - 5),7 - 6 (7 - 3),,,
1,30,Mikhail Youzhny *,RUS,,Gilles Muller,LUX,,7 - 6 (7 - 2),6 - 1,6 - 4,,,
1,31,Daniel Brands,GER,,Robert Kendrick *,USA,,7 - 6 (9 - 7),5 - 7,6 - 7 (11 - 13),6 - 4,3 - 6,
1,32,Wayne Odesnik,USA,,Gilles Simon *,FRA,7,6 - 3,5 - 7,2 - 6,6 - 4,3 - 6,
1,33,Juan Martin Del Potro *,ARG,5,Michael Llodra,FRA,,6 - 3,6 - 3,6 - 1,,,
1,34,Viktor Troicki *,SRB,,Lukasz Kubot,POL,,3 - 6,6 - 3,6 - 4,6 - 7 (4 - 7),6 - 3,
1,35,Thomaz Bellucci,BRA,,Martin Vassallo Arguello *,ARG,,4 - 6,7 - 6 (7 - 4),5 - 5,,,Retired
1,36,Fabio Fognini,ITA,,Igor Andreev *,RUS,25,6 - 1,3 - 6,1 - 6,6 - 3,5 - 7,
1,37,Dmitry Tursunov,RUS,21,Arnaud Clement *,FRA,,3 - 6,6 - 3,4 - 6,1 - 6,,
1,38,Fabrice Santoro,FRA,,Christophe Rochus *,BEL,,3 - 6,1 - 6,6 - 3,4 - 6,,
1,39,Marcos Baghdatis,CYP,,Juan Monaco *,ARG,,3 - 6,2 - 6,4 - 6,,,
1,40,Julien Benneteau,FRA,,Jo-Wilfried Tsonga *,FRA,9,4 - 6,6 - 3,3 - 6,4 - 6,,
1,41,Tommy Robredo *,ESP,16,Adrian Mannarino,FRA,,6 - 2,6 - 1,6 - 2,,,
1,42,Evgeny Korolev,RUS,,Daniel Gimeno-Traver *,ESP,,4 - 6,,,,,Retired
1,43,Guillermo Garcia-Lopez,ESP,,Andreas Seppi *,ITA,,3 - 6,3 - 6,1 - 6,,,
1,44,Maximo Gonzalez *,ARG,,Mardy Fish,USA,22,6 - 3,1 - 6,6 - 4,7 - 6 (7 - 4),,
1,45,Philipp Kohlschreiber *,GER,29,Bernard Tomic,AUS,,6 - 1,6 - 2,6 - 2,,,
1,46,Juan Carlos Ferrero *,ESP,,Ivan Ljubicic,CRO,,2 - 6,6 - 4,6 - 4,3 - 6,6 - 3,
1,47,Brian Dabul,ARG,,Sergiy Stakhovsky *,UKR,,6 - 4,5 - 7,6 - 7 (2 - 7),3 - 6,,
1,48,Nicolas Lapentti,ECU,,Novak Djokovic *,SRB,4,3 - 6,1 - 3,,,,Retired
1,49,Andy Roddick *,USA,6,Romain Jouan,FRA,,6 - 2,6 - 4,6 - 2,,,
1,50,Oscar Hernandez,ESP,,Ivo Minar *,CZE,,3 - 6,6 - 7 (4 - 7),3 - 6,,,
1,51,Ivan Navarro,ESP,,Andreas Beck *,GER,,6 - 7 (9 - 11),4 - 6,1 - 6,,,
1,52,Marc Gicquel *,FRA,,Rainer Schuettler,GER,27,6 - 0,6 - 0,6 - 4,,,
1,53,Jurgen Melzer *,AUT,24,Sergio Roitman,ARG,,6 - 4,7 - 6 (7 - 4),6 - 0,,,
1,54,Guillaume Rufin *,FRA,,Eduardo Schwank,ARG,,6 - 1,6 - 3,6 - 3,,,
1,55,Victor Crivoi *,ROU,,Simon Greul,GER,,6 - 1,7 - 6 (7 - 1),6 - 2,,,
1,56,Bobby Reynolds,USA,,Gael Monfils *,FRA,11,2 - 6,3 - 6,1 - 6,,,
1,57,James Blake,USA,15,Leonardo Mayer *,ARG,,6 - 7 (6 - 8),5 - 7,2 - 6,,,
1,58,Andrei Pavel,ROU,,Tommy Haas *,GER,,1 - 6,4 - 6,4 - 6,,,
1,59,Thiago Alves,BRA,,Jeremy Chardy *,FRA,,2 - 6,6 - 7 (10 - 12),3 - 6,,,
1,60,Simone Bolelli *,ITA,,Tomas Berdych,CZE,19,6 - 4,6 - 4,5 - 7,4 - 6,6 - 3,
1,61,Paul-Henri Mathieu *,FRA,32,Laurent Recouderc,FRA,,6 - 4,6 - 4,6 - 1,,,
1,62,Robby Ginepri,USA,,Pablo Andujar *,ESP,,4 - 6,6 - 7 (7 - 9),6 - 7 (3 - 7),,,
1,63,Jose Acasuso *,ARG,,Santiago Ventura,ESP,,3 - 6,7 - 6 (7 - 5),6 - 0,6 - 3,,
1,64,Alberto Martin,ESP,,Roger Federer *,SUI,2,4 - 6,3 - 6,2 - 6,,,
2,1,Rafael Nadal *,ESP,1,Teimuraz Gabashvili,RUS,,6 - 1,6 - 4,6 - 2,,,
2,2,Andrey Golubev,KAZ,,Lleyton Hewitt *,AUS,,4 - 6,3 - 6,1 - 6,,,
2,3,Robin Soderling *,SWE,23,Denis Istomin,UZB,,6 - 4,7 - 6 (7 - 4),6 - 4,,,
2,4,Nicolas Kiefer,GER,,David Ferrer *,ESP,14,3 - 6,7 - 5,4 - 6,6 - 3,2 - 6,
2,5,Nikolay Davydenko *,RUS,10,Diego Junqueira,ARG,,4 - 6,6 - 3,6 - 0,6 - 2,,
2,6,Nicolas Massu,CHI,,Stanislas Wawrinka *,SUI,17,1 - 6,1 - 6,2 - 6,,,
2,7,Nicolas Almagro *,ESP,31,Ernests Gulbis,LAT,,6 - 7 (4 - 7),7 - 6 (7 - 5),6 - 3,6 - 2,,
2,8,Philipp Petzschner,GER,,Fernando Verdasco *,ESP,8,1 - 6,2 - 6,3 - 6,,,
2,9,Andy Murray *,GBR,3,Potito Starace,ITA,,6 - 3,2 - 6,7 - 5,6 - 4,,
2,10,Janko Tipsarevic *,SRB,,Feliciano Lopez,ESP,28,6 - 7 (9 - 11),6 - 4,7 - 6 (7 - 4),6 - 3,,
2,11,Radek Stepanek *,CZE,18,Mathieu Montcourt,FRA,,6 - 4,4 - 6,6 - 4,6 - 4,,
2,12,Dudi Sela,ISR,,Marin Cilic *,CRO,13,0 - 6,3 - 6,1 - 6,,,
2,13,Fernando Gonzalez *,CHI,12,Rui Machado,POR,,6 - 3,6 - 2,6 - 3,,,
2,14,Josselin Ouanna *,FRA,,Marat Safin,RUS,20,7 - 6 (7 - 2),7 - 6 (7 - 4),4 - 6,3 - 6,10 - 8,
2,15,Victor Hanescu *,ROU,30,Mikhail Youzhny,RUS,,7 - 5,7 - 5,7 - 5,,,
2,16,Robert Kendrick,USA,,Gilles Simon *,FRA,7,5 - 7,0 - 6,1 - 6,,,
2,17,Juan Martin Del Potro *,ARG,5,Viktor Troicki,SRB,,6 - 3,7 - 5,6 - 0,,,
2,18,Martin Vassallo Arguello,ARG,,Igor Andreev *,RUS,25,6 - 1,5 - 7,7 - 5,3 - 6,4 - 6,
2,19,Arnaud Clement,FRA,,Christophe Rochus *,BEL,,1 - 6,5 - 7,6 - 4,3 - 6,,
2,20,Juan Monaco,ARG,,Jo-Wilfried Tsonga *,FRA,9,5 - 7,6 - 2,1 - 6,6 - 7 (8 - 10),,
2,21,Tommy Robredo *,ESP,16,Daniel Gimeno-Traver,ESP,,6 - 4,6 - 4,6 - 3,,,
2,22,Andreas Seppi,ITA,,Maximo Gonzalez *,ARG,,6 - 7 (8 - 10),3 - 6,3 - 6,,,
