Round,Match,Player 1,P1 Country,P1 Seed,Player 2,P2 Country,P2 Seed,Set 1,Set 2,Set 3,Set 4,Set 5,Notes
1,1,Caroline Wozniacki *,DEN,1,Kimiko Date-Krumm,JPN,,6 - 0,6 - 2,,,,
1,2,Junri Namigata,JPN,,Aleksandra Wozniak *,CAN,,1 - 6,1 - 6,,,,
1,3,Christina McHale,USA,,Sara Errani *,ITA,,7 - 6 (7 - 4),2 - 6,7 - 9,,,
1,4,Shuai Zhang,CHN,,Daniela Hantuchova *,SVK,28,3 - 6,3 - 6,,,,
1,5,Shahar Peer,ISR,19,Maria Jose Martinez Sanchez *,ESP,,6 - 7 (4 - 7),1 - 6,,,,
1,6,Rebecca Marino *,CAN,,Kateryna Bondarenko,UKR,,6 - 3,6 - 3,,,,
1,7,Aravane Rezai,FRA,,Irina-Camelia Begu *,ROU,,3 - 6,3 - 6,,,,
1,8,Magdalena Rybarikova,SVK,,Svetlana Kuznetsova *,RUS,13,2 - 6,3 - 6,,,,
1,9,Marion Bartoli *,FRA,11,Anna Tatishvili,GEO,,1 - 6,6 - 2,6 - 1,,,
1,10,Agnes Szavay,HUN,,Olga Govortsova *,BLR,,4 - 6,6 - 4,4 - 6,,,
1,11,Kirsten Flipkens,BEL,,Lucie Safarova *,CZE,,1 - 6,1 - 6,,,,
1,12,Mathilde Johansson,FRA,,Julia Goerges *,GER,17,1 - 6,4 - 6,,,,
1,13,Tsvetana Pironkova *,BUL,32,Casey Dellacqua,AUS,,7 - 5,6 - 3,,,,
1,14,Gisela Dulko *,ARG,,Irina Falconi,USA,,6 - 3,6 - 4,,,,
1,15,Alla Kudryavtseva,RUS,,Simona Halep *,ROU,,2 - 6,1 - 6,,,,
1,16,Iveta Benesova,CZE,,Samantha Stosur *,AUS,8,2 - 6,3 - 6,,,,
1,17,Vera Zvonareva *,RUS,3,Lourdes Dominguez Lino,ESP,,6 - 3,6 - 3,,,,
1,18,Sabine Lisicki *,GER,,Akgul Amanmuradova,UZB,,6 - 0,6 - 4,,,,
1,19,Angelique Kerber,GER,,Edina Gallovits-Hall *,ROU,,6 - 2,3 - 6,1 - 6,,,
1,20,Anastasia Rodionova *,AUS,,Nadia Petrova,RUS,26,6 - 7 (5 - 7),6 - 3,6 - 4,,,
1,21,Anastasia Pivovarova,RUS,,Nuria Llagostera Vives *,ESP,,3 - 6,0 - 6,,,,
1,22,Renata Voracova,CZE,,Alize Cornet *,FRA,,4 - 6,2 - 6,,,,
1,23,Sybille Bammer,AUT,,Mona Barthel *,GER,,1 - 6,5 - 7,,,,
1,24,Yaroslava Shvedova,KAZ,,Anastasia Pavlyuchenkova *,RUS,14,5 - 7,3 - 6,,,,
1,25,Jelena Jankovic *,SRB,10,Alona Bondarenko,UKR,,6 - 3,6 - 1,,,,
1,26,Jelena Dokic,AUS,,Vera Dushevina *,RUS,,6 - 4,3 - 6,2 - 6,,,
1,27,Arantxa Parra Santonja,ESP,,Bethanie Mattek-Sands *,USA,,6 - 2,6 - 7 (5 - 7),3 - 6,,,
1,28,Varvara Lepchenko *,USA,,Flavia Pennetta,ITA,18,6 - 3,2 - 6,6 - 3,,,
1,29,Shuai Peng *,CHN,29,Tamira Paszek,AUT,,6 - 3,6 - 2,,,,
1,30,Olivia Sanchez,FRA,,Polona Hercog *,SLO,,0 - 6,1 - 6,,,,
1,31,Anne Keothavong,GBR,,Vesna Dolonts *,RUS,,6 - 3,6 - 7 (5 - 7),4 - 6,,,
1,32,Melanie Oudin,USA,,Francesca Schiavone *,ITA,5,2 - 6,0 - 6,,,,
1,33,Na Li *,CHN,6,Barbora Zahlavova Strycova,CZE,,6 - 3,6 - 7 (6 - 8),6 - 3,,,
1,34,Silvia Soler-Espinosa *,ESP,,Elena Vesnina,RUS,,4 - 6,6 - 3,6 - 4,,,
1,35,Patty Schnyder,SUI,,Sorana Cirstea *,ROU,,1 - 6,3 - 6,,,,
1,36,Laura Pous-Tio,ESP,,Alexandra Dulgheru *,ROU,27,3 - 6,4 - 6,,,,
1,37,Dominika Cibulkova,SVK,22,Vania King *,USA,,7 - 6 (12 - 10),3 - 6,2 - 6,,,
1,38,Elena Baltacha *,GBR,,Sloane Stephens,USA,,7 - 5,6 - 2,,,,
1,39,Sandra Zahlavova,CZE,,Jie Zheng *,CHN,,4 - 6,3 - 6,,,,
1,40,Greta Arn,HUN,,Petra Kvitova *,CZE,9,2 - 6,1 - 6,,,,
1,41,Kaia Kanepi *,EST,16,Sofia Arvidsson,SWE,,7 - 5,6 - 1,,,,
1,42,Stephanie Foretz Gacon,FRA,,Heather Watson *,GBR,,6 - 7 (6 - 8),1 - 6,,,,
1,43,Ekaterina Makarova *,RUS,,Romina Oprandi,ITA,,6 - 4,3 - 6,6 - 0,,,
1,44,Johanna Larsson *,SWE,,Ana Ivanovic,SRB,20,7 - 6 (7 - 3),0 - 6,6 - 2,,,
1,45,Roberta Vinci *,ITA,30,Alberta Brianti,ITA,,6 - 3,3 - 6,6 - 3,,,
1,46,Evgeniya Rodina,RUS,,Iryna Bremond *,FRA,,3 - 6,6 - 4,6 - 8,,,
1,47,Pauline Parmentier *,FRA,,Ksenia Pervak,RUS,,7 - 6 (7 - 5),6 - 4,,,,
1,48,Andrea Hlavackova,CZE,,Victoria Azarenka *,BLR,4,3 - 6,3 - 6,,,,
1,49,Maria Sharapova *,RUS,7,Mirjana Lucic,CRO,,6 - 3,6 - 0,,,,
1,50,Zuzana Ondraskova,CZE,,Caroline Garcia *,FRA,,3 - 6,4 - 6,,,,
1,51,Jill Craybas *,USA,,Eleni Daniilidou,GRE,,6 - 3,6 - 3,,,,
1,52,Yung-Jan Chan *,TPE,,Klara Zakopalova,CZE,31,7 - 5,6 - 1,,,,
1,53,Yanina Wickmayer *,BEL,21,Monica Niculescu,ROU,,6 - 0,6 - 3,,,,
1,54,Kristina Mladenovic,FRA,,Ayumi Morita *,JPN,,6 - 2,4 - 6,5 - 7,,,
1,55,Sania Mirza *,IND,,Kristina Barrois,GER,,6 - 3,6 - 3,,,,
1,56,Patricia Mayr-Achleitner,AUT,,Agnieszka Radwanska *,POL,12,1 - 6,2 - 6,,,,
1,57,Andrea Petkovic *,GER,15,Bojana Jovanovski,SRB,,6 - 4,7 - 6 (7 - 3),,,,
1,58,Anastasija Sevastova,LAT,,Lucie Hradecka *,CZE,,3 - 6,7 - 5,1 - 6,,,
1,59,Corinna Dentoni,ITA,,A. Medina Garrigues *,ESP,,5 - 7,5 - 7,,,,
1,60,Virginie Razzano,FRA,,Jarmila Gajdosova *,AUS,24,3 - 6,1 - 6,,,,
1,61,Maria Kirilenko *,RUS,25,Coco Vandeweghe,USA,,7 - 6 (7 - 5),6 - 2,,,,
1,62,Viktoriya Kutuzova,UKR,,Chanelle Scheepers *,RSA,,3 - 6,6 - 4,2 - 6,,,
1,63,Marina Erakovic,NZL,,Arantxa Rus *,NED,,6 - 2,4 - 6,4 - 6,,,
1,64,Anastasiya Yakimova,BLR,,Kim Clijsters *,BEL,2,2 - 6,3 - 6,,,,
2,1,Caroline Wozniacki *,DEN,1,Aleksandra Wozniak,CAN,,6 - 3,7 - 6 (8 - 6),,,,
