Round,Match,Player 1,P1 Country,P1 Seed,Player 2,P2 Country,P2 Seed,Set 1,Set 2,Set 3,Set 4,Set 5,Notes
1,1,Dinara Safina *,RUS,1,Olivia Rogowska,AUS,,6 - 7 (5 - 7),6 - 2,6 - 4,,,
1,2,Urszula Radwanska,POL,,Kristina Barrois *,GER,,4 - 6,4 - 6,,,,
1,3,Tathiana Garbin *,ITA,,Mallory Cecil,USA,,6 - 0,6 - 1,,,,
1,4,Petra Kvitova *,CZE,,Alisa Kleybanova,RUS,27,6 - 7 (4 - 7),6 - 3,6 - 2,,,
1,5,Patty Schnyder *,SUI,19,Lucie Safarova,CZE,,4 - 6,6 - 3,7 - 6 (8 - 6),,,
1,6,Sara Errani *,ITA,,Arantxa Rus,NED,,6 - 0,6 - 3,,,,
1,7,Shuai Peng *,CHN,,Jarmila Groth,AUS,,6 - 2,6 - 3,,,,
1,8,Yanina Wickmayer *,BEL,,Virginie Razzano,FRA,16,6 - 4,6 - 3,,,,
1,9,Ana Ivanovic,SRB,11,Kateryna Bondarenko *,UKR,,6 - 2,3 - 6,6 - 7 (7 - 9),,,
1,10,Shenay Perry *,USA,,Monica Niculescu,ROU,,6 - 4,6 - 2,,,,
1,11,Anastasia Rodionova *,AUS,,Lourdes Dominguez Lino,ESP,,6 - 0,4 - 6,6 - 1,,,
1,12,Aravane Rezai,FRA,,Sabine Lisicki *,GER,23,6 - 7 (4 - 7),7 - 6 (7 - 4),1 - 6,,,
1,13,Alona Bondarenko *,UKR,30,Alla Kudryavtseva,RUS,,3 - 6,6 - 3,6 - 2,,,
1,14,Gisela Dulko *,ARG,,Ekaterina Makarova,RUS,,6 - 3,5 - 7,6 - 4,,,
1,15,Yaroslava Shvedova *,KAZ,,Masa Zec Peskiric,SLO,,6 - 3,6 - 3,,,,
1,16,Roberta Vinci,ITA,,Jelena Jankovic *,SRB,5,2 - 6,3 - 6,,,,
1,17,Elena Dementieva *,RUS,4,Camille Pin,FRA,,6 - 1,6 - 2,,,,
1,18,Anastasia Pavlyuchenkova,RUS,,Melanie Oudin *,USA,,1 - 6,2 - 6,,,,
1,19,Polona Hercog,SLO,,Christina McHale *,USA,,3 - 6,1 - 6,,,,
1,20,Tsvetana Pironkova,BUL,,Maria Sharapova *,RUS,29,3 - 6,0 - 6,,,,
1,21,Jie Zheng *,CHN,21,Anna-Lena Groenefeld,GER,,6 - 3,6 - 2,,,,
1,22,Alize Cornet *,FRA,,Monique Adamczak,AUS,,4 - 6,6 - 4,7 - 5,,,
1,23,Eva Hrdinova,CZE,,Julie Coin *,FRA,,3 - 6,3 - 6,,,,
1,24,Katarina Srebotnik,SLO,,Nadia Petrova *,RUS,13,3 - 6,3 - 6,,,,
