Round,Match,Player 1,P1 Country,P1 Seed,Player 2,P2 Country,P2 Seed,Set 1,Set 2,Set 3,Set 4,Set 5,Notes
1,1,Novak Djokovic *,SRB,1,Diego Schwartzman,ARG,,6 - 1,6 - 2,6 - 4,,,
1,2,Gilles Muller,LUX,,Paul-Henri Mathieu *,FRA,,7 - 6 (9 - 7),5 - 7,6 - 7 (6 - 8),7 - 6 (7 - 5),1 - 6,
1,3,Maximo Gonzalez,ARG,,Sam Querrey *,USA,,2 - 6,6 - 4,4 - 6,6 - 4,3 - 6,
1,4,Yen-Hsun Lu,TPE,,Guillermo Garcia-Lopez *,ESP,28,4 - 6,2 - 6,2 - 6,,,
1,5,Philipp Kohlschreiber *,GER,22,Facundo Bagnis,ARG,,6 - 2,7 - 6 (7 - 3),6 - 3,,,
1,6,Michael Llodra *,FRA,,Daniel Gimeno-Traver,ESP,,6 - 4,6 - 3,7 - 5,,,
1,7,Mikhail Kukushkin,KAZ,,Jan-Lennard Struff *,GER,,6 - 2,6 - 3,3 - 6,3 - 6,5 - 7,
1,8,Marcos Giron,USA,,John Isner *,USA,13,6 - 7 (5 - 7),2 - 6,6 - 7 (2 - 7),,,
1,9,Jo-Wilfried Tsonga *,FRA,9,Juan Monaco,ARG,,6 - 3,4 - 6,7 - 6 (7 - 2),6 - 1,,
1,10,James McGee,IRL,,Aleksandr Nedovyesov *,KAZ,,6 - 4,2 - 6,1 - 6,6 - 7 (3 - 7),,
1,11,Pablo Carreno Busta *,ESP,,Andreas Beck,GER,,6 - 3,4 - 6,6 - 2,7 - 6 (7 - 0),,
1,12,Benoit Paire *,FRA,,Julien Benneteau,FRA,24,7 - 6 (7 - 4),5 - 7,6 - 4,4 - 6,6 - 4,
1,13,Fernando Verdasco *,ESP,31,Blaz Rola,SLO,,6 - 3,3 - 6,7 - 5,1 - 6,6 - 4,
1,14,Bradley Klahn,USA,,Andrey Kuznetsov *,RUS,,4 - 6,6 - 4,3 - 6,5 - 7,,
1,15,Matthias Bachinger *,GER,,Radek Stepanek,CZE,,6 - 3,6 - 2,6 - 2,,,
1,16,Robin Haase,NED,,Andy Murray *,GBR,8,3 - 6,6 - 7 (6 - 8),6 - 1,5 - 7,,
1,17,Stan Wawrinka *,SUI,3,Jiri Vesely,CZE,,6 - 2,7 - 6 (8 - 6),7 - 6 (7 - 3),,,
1,18,Thomaz Bellucci *,BRA,,Nicolas Mahut,FRA,,7 - 6 (7 - 4),6 - 4,6 - 1,,,
1,19,Blaz Kavcic *,SLO,,Donald Young,USA,,7 - 5,6 - 4,6 - 4,,,
1,20,Alejandro Falla,COL,,Jeremy Chardy *,FRA,30,7 - 6 (7 - 5),2 - 6,5 - 7,4 - 6,,
1,21,Mikhail Youzhny,RUS,21,Nick Kyrgios *,AUS,,5 - 7,6 - 7 (4 - 7),6 - 2,6 - 7 (1 - 7),,
1,22,Sergiy Stakhovsky,UKR,,Andreas Seppi *,ITA,,3 - 6,1 - 6,4 - 6,,,
1,23,Simone Bolelli *,ITA,,Vasek Pospisil,CAN,,2 - 6,6 - 4,6 - 2,3 - 6,6 - 3,
1,24,Edouard Roger-Vasselin,FRA,,Tommy Robredo *,ESP,16,4 - 6,3 - 6,4 - 6,,,
1,25,Kei Nishikori *,JPN,10,Wayne Odesnik,USA,,6 - 2,6 - 4,6 - 2,,,
1,26,Pablo Andujar *,ESP,,Jack Sock,USA,,6 - 4,3 - 6,6 - 1,,,Retired
1,27,Matthew Ebden *,AUS,,Tobias Kamke,GER,,6 - 4,6 - 3,7 - 6 (7 - 2),,,
1,28,Albert Montanes,ESP,,Leonardo Mayer *,ARG,23,2 - 6,0 - 3,,,,Retired
1,29,Lukas Rosol,CZE,29,Borna Coric *,CRO,,4 - 6,1 - 6,2 - 6,,,
1,30,Victor Estrella Burgos *,DOM,,Igor Sijsling,NED,,2 - 6,6 - 4,6 - 3,6 - 2,,
1,31,Peter Gojowczyk *,GER,,Benjamin Becker,GER,,6 - 2,6 - 4,6 - 2,,,
1,32,Taro Daniel,JPN,,Milos Raonic *,CAN,5,3 - 6,2 - 6,6 - 7 (1 - 7),,,
1,33,Tomas Berdych *,CZE,6,Lleyton Hewitt,AUS,,6 - 3,6 - 4,6 - 3,,,
1,34,Steve Darcis,BEL,,Martin Klizan *,SVK,,6 - 3,6 - 2,6 - 7 (5 - 7),5 - 7,4 - 6,
