Round,Match,Player 1,P1 Country,P1 Seed,Player 2,P2 Country,P2 Seed,Set 1,Set 2,Set 3,Set 4,Set 5,Notes
1,1,Roger Federer *,SUI,1,Teimuraz Gabashvili,RUS,,6 - 3,6 - 2,6 - 4,,,
1,2,Juan Martin Del Potro *,ARG,,Davide Sanguinetti,ITA,,3 - 6,6 - 3,6 - 4,6 - 4,,
1,3,Aisam-Ul-Haq Qureshi *,PAK,,Lee Childs,GBR,,6 - 3,6 - 4,7 - 6 (8 - 6),,,
1,4,Rik De voest,RSA,,Marat Safin *,RUS,26,6 - 7 (5 - 7),4 - 6,5 - 7,,,
1,5,Dmitry Tursunov *,RUS,21,Nicolas Almagro,ESP,,7 - 6 (7 - 2),6 - 4,6 - 7 (7 - 9),6 - 3,,
1,6,Michael Berrer *,GER,,Albert Montanes,ESP,,6 - 3,6 - 3,6 - 2,,,
1,7,Tomas Zib *,CZE,,Diego Hartfield,ARG,,4 - 6,7 - 6 (7 - 4),3 - 6,6 - 3,6 - 4,
1,8,Zack Fleishman,USA,,Tommy Haas *,GER,13,3 - 6,4 - 6,2 - 6,,,
1,9,James Blake *,USA,9,Igor Andreev,RUS,,6 - 3,6 - 4,6 - 4,,,
1,10,Juan-Pablo Guzman,ARG,,Andrei Pavel *,ROU,,4 - 6,4 - 6,1 - 6,,,
1,11,Gilles Muller *,LUX,,Oscar Hernandez,ESP,,6 - 2,6 - 7 (6 - 8),4 - 3,,,Retired
1,12,Jan Hajek,CZE,,Juan Carlos Ferrero *,ESP,20,7 - 6 (7 - 5),6 - 4,3 - 6,2 - 6,5 - 7,
1,13,Philipp Kohlschreiber,GER,27,Florent Serra *,FRA,,6 - 7 (4 - 7),4 - 6,4 - 6,,,
1,14,Alexander Peya,AUT,,Janko Tipsarevic *,SRB,,6 - 4,6 - 3,3 - 6,4 - 6,3 - 6,
1,15,Alejandro Falla *,COL,,Sam Querrey,USA,,7 - 6 (7 - 5),6 - 1,6 - 4,,,
1,16,Robby Ginepri,USA,,Fernando Gonzalez *,CHI,5,6 - 3,6 - 7 (4 - 7),2 - 6,2 - 6,,
1,17,Andy Roddick *,USA,3,Justin Gimelstob,USA,,6 - 1,7 - 5,7 - 6 (7 - 3),,,
1,18,Danai Udomchoke *,THA,,Carlos Berlocq,ARG,,6 - 4,7 - 5,6 - 3,,,
1,19,Fernando Verdasco *,ESP,,Bobby Reynolds,USA,,6 - 4,6 - 4,6 - 3,,,
1,20,Andreas Seppi *,ITA,,Dominik Hrbaty,SVK,31,7 - 6 (10 - 8),6 - 1,6 - 2,,,
1,21,David Ferrer *,ESP,17,Sergio Roitman,ARG,,6 - 3,6 - 3,6 - 1,,,
1,22,Paul-Henri Mathieu *,FRA,,Radek Stepanek,CZE,,7 - 6 (7 - 4),6 - 2,6 - 2,,,
1,23,Marc Gicquel,FRA,,Jan Hernych *,CZE,,6 - 0,4 - 6,4 - 6,4 - 6,,
1,24,Vincent Spadea,USA,,Ivan Ljubicic *,CRO,15,4 - 6,4 - 6,6 - 4,6 - 7 (4 - 7),,
1,25,Richard Gasquet *,FRA,12,Bohdan Ulihrach,CZE,,6 - 3,6 - 4,6 - 4,,,
1,26,Arnaud Clement,FRA,,Nicolas Mahut *,FRA,,3 - 6,6 - 3,6 - 7 (5 - 7),4 - 6,,
1,27,Jamie Baker,GBR,,Edouard Roger-vasselin *,FRA,,6 - 7 (2 - 7),2 - 6,3 - 6,,,
1,28,Benjamin Becker,GER,,Juan Ignacio Chela *,ARG,24,6 - 3,6 - 4,4 - 6,4 - 6,8 - 10,
1,29,Carlos Moya,ESP,25,Tim Henman *,GBR,,3 - 6,6 - 1,7 - 5,2 - 6,11 - 13,
1,30,Joshua Goodall,GBR,,Feliciano Lopez *,ESP,,1 - 6,4 - 6,4 - 6,,,
