Round,Match,Player 1,P1 Country,P1 Seed,Player 2,P2 Country,P2 Seed,Set 1,Set 2,Set 3,Set 4,Set 5,Notes
1,1,Ana Ivanovic *,SRB,1,Rossana de los Rios,PAR,,6 - 1,6 - 2,,,,
1,2,Nathalie Dechy *,FRA,,Meng Yuan,CHN,,6 - 7 (7 - 9),6 - 3,6 - 0,,,
1,3,Elena Baltacha *,GBR,,Angelique Kerber,GER,,6 - 3,2 - 6,7 - 5,,,
1,4,Jie Zheng *,CHN,,Dominika Cibulkova,SVK,30,6 - 4,6 - 3,,,,
1,5,Francesca Schiavone *,ITA,20,Tamira Paszek,AUT,,6 - 3,5 - 7,10 - 8,,,
1,6,Zi Yan,CHN,,Anabel Medina Garrigues *,ESP,,3 - 6,0 - 6,,,,
1,7,Monica Niculescu *,ROU,,Magdalena Rybarikova,SVK,,1 - 6,6 - 3,6 - 4,,,
1,8,Tathiana Garbin,ITA,,Agnes Szavay *,HUN,15,1 - 6,3 - 6,,,,
1,9,Patty Schnyder,SUI,12,Casey Dellacqua *,AUS,,4 - 6,6 - 3,1 - 6,,,
1,10,Akgul Amanmuradova,UZB,,Pauline Parmentier *,FRA,,5 - 7,4 - 6,,,,
1,11,Samantha Stosur *,AUS,,Ioana Raluca Olaru,ROU,,6 - 2,6 - 2,,,,
1,12,Zuzana Ondraskova,CZE,,Nicole Vaidisova *,CZE,18,2 - 6,2 - 6,,,,
1,13,Virginie Razzano,FRA,27,Evgeniya Rodina *,RUS,,6 - 0,2 - 6,4 - 6,,,
1,14,Nuria Llagostera Vives,ESP,,Elena Vesnina *,RUS,,7 - 6 (8 - 6),4 - 6,4 - 6,,,
1,15,Yvonne Meusburger,AUT,,Edina Gallovits *,ROU,,1 - 6,2 - 6,,,,
1,16,Stephanie Dubois,CAN,,Anna Chakvetadze *,RUS,8,6 - 2,1 - 6,6 - 8,,,
1,17,Svetlana Kuznetsova *,RUS,4,Mathilde Johansson,FRA,,6 - 7 (5 - 7),7 - 5,6 - 3,,,
1,18,Kateryna Bondarenko *,UKR,,Rika Fujiwara,JPN,,1 - 6,6 - 4,6 - 3,,,
1,19,Camille Pin,FRA,,Barbora Zahlavova Strycova *,CZE,,5 - 7,6 - 4,5 - 7,,,
1,20,Melanie South,GBR,,Alona Bondarenko *,UKR,28,3 - 6,7 - 6 (7 - 1),4 - 6,,,
1,21,Alize Cornet,FRA,17,Anastasia Pavlyuchenkova *,RUS,,6 - 7 (6 - 8),6 - 7 (4 - 7),,,,
1,22,Anastasia Rodionova,AUS,,Na Li *,CHN,,6 - 3,0 - 6,1 - 6,,,
1,23,Marta Domachowska *,POL,,Jill Craybas,USA,,6 - 1,3 - 6,6 - 4,,,
1,24,Iveta Benesova,CZE,,Agnieszka Radwanska *,POL,14,3 - 6,0 - 6,,,,
1,25,Marion Bartoli *,FRA,11,Sabine Katharin Lisicki,GER,,6 - 2,6 - 4,,,,
1,26,Tatiana Perebiynis *,UKR,,Petra Kvitova,CZE,,6 - 4,0 - 6,6 - 4,,,
1,27,Bethanie Mattek *,USA,,Severine Bremond,FRA,,5 - 7,6 - 0,6 - 1,,,
1,28,Vera Dushevina *,RUS,,Maria Kirilenko,RUS,19,6 - 3,6 - 3,,,,
1,29,Amelie Mauresmo *,FRA,29,Ashley Harkleroad,USA,,6 - 4,6 - 3,,,,
1,30,Milagros Sequera,VEN,,Virginia Ruano Pascual *,ESP,,1 - 6,4 - 6,,,,
1,31,Klara Zakopalova,CZE,,Urszula Radwanska *,POL,,1 - 6,4 - 6,,,,
1,32,Kaia Kanepi,EST,,Serena Williams *,USA,6,5 - 7,3 - 6,,,,
1,33,Elena Dementieva *,RUS,5,Maria Elena Camerin,ITA,,6 - 3,6 - 7 (7 - 9),6 - 3,,,
1,34,Julie Ditty,USA,,Timea Bacsinszky *,SUI,,5 - 7,3 - 6,,,,
1,35,Gisela Dulko *,ARG,,Aravane Rezai,FRA,,1 - 6,6 - 0,6 - 2,,,
1,36,Renata Voracova,CZE,,Lindsay Davenport *,USA,25,3 - 6,7 - 5,3 - 6,,,
1,37,Shahar Peer *,ISR,24,Katie O'Brien,GBR,,6 - 3,7 - 5,,,,
1,38,Lucie Safarova,CZE,,Emilie Loit *,FRA,,3 - 6,6 - 7 (4 - 7),,,,
1,39,Stephanie Cohen-Aloro,FRA,,Su-Wei Hsieh *,TPE,,3 - 6,2 - 6,,,,
1,40,Yung-Jan Chan,TPE,,Dinara Safina *,RUS,9,6 - 7 (8 - 10),2 - 6,,,,
1,41,Victoria Azarenka *,BLR,16,Tsvetana Pironkova,BUL,,6 - 1,6 - 1,,,,
1,42,Ekaterina Bychkova,RUS,,Sorana Cirstea *,ROU,,4 - 6,4 - 6,,,,
1,43,Mara Santangelo *,ITA,,Maret Ani,EST,,7 - 5,6 - 3,,,,
1,44,Olga Govortsova,BLR,,Nadia Petrova *,RUS,21,4 - 6,4 - 6,,,,
1,45,Sybille Bammer *,AUT,26,Sofia Arvidsson,SWE,,4 - 6,4 - 1,,,,Retired
1,46,Shuai Peng *,CHN,,Viktoriya Kutuzova,UKR,,6 - 3,6 - 4,,,,
1,47,Ekaterina Makarova,RUS,,Alla Kudryavtseva *,RUS,,0 - 6,4 - 6,,,,
1,48,Stephanie Foretz,FRA,,Maria Sharapova *,RUS,3,1 - 6,4 - 6,,,,
1,49,Venus Williams *,USA,7,Naomi Cavaday,GBR,,7 - 6 (7 - 5),6 - 1,,,,
1,50,Anne Keothavong *,GBR,,Vania King,USA,,4 - 6,6 - 2,6 - 3,,,
1,51,Martina Muller,GER,,Maria Jose Martinez Sanchez *,ESP,,1 - 6,1 - 6,,,,
1,52,Catalina Castano,COL,,Sania Mirza *,IND,32,6 - 7 (3 - 7),6 - 3,4 - 6,,,
1,53,Flavia Pennetta *,ITA,22,Julia Vakulenko,UKR,,6 - 3,6 - 4,,,,
1,54,Ai Sugiyama *,JPN,,Yanina Wickmayer,BEL,,6 - 4,6 - 2,,,,
1,55,Alisa Kleybanova *,RUS,,Tzipora Obziler,ISR,,6 - 4,6 - 0,,,,
1,56,Sara Errani,ITA,,Daniela Hantuchova *,SVK,10,6 - 7 (5 - 7),4 - 6,,,,
1,57,Vera Zvonareva *,RUS,13,Aiko Nakamura,JPN,,6 - 1,6 - 7 (3 - 7),6 - 1,,,
1,58,Tamarine Tanasugarn *,THA,,Petra Cetkovska,CZE,,6 - 4,6 - 3,,,,
1,59,Michaella Krajicek,NED,,Marina Erakovic *,NZL,,6 - 7 (3 - 7),6 - 7 (6 - 8),,,,
1,60,Julia Goerges *,GER,,Katarina Srebotnik,SLO,23,4 - 6,7 - 6 (8 - 6),16 - 14,,,
1,61,Caroline Wozniacki *,DEN,31,Eva Hrdinova,CZE,,6 - 2,7 - 5,,,,
1,62,Aleksandra Wozniak *,CAN,,Mariya Koryttseva,UKR,,7 - 5,6 - 4,,,,
1,63,Galina Voskoboeva,RUS,,Carla Suarez Navarro *,ESP,,2 - 6,4 - 6,,,,
1,64,Olga Savchuk,UKR,,Jelena Jankovic *,SRB,2,3 - 6,2 - 6,,,,
2,1,Ana Ivanovic *,SRB,1,Nathalie Dechy,FRA,,6 - 7 (2 - 7),7 - 6 (7 - 3),10 - 8,,,
2,2,Elena Baltacha,GBR,,Jie Zheng *,CHN,,2 - 6,5 - 7,,,,
2,3,Francesca Schiavone,ITA,20,Anabel Medina Garrigues *,ESP,,6 - 3,5 - 7,7 - 9,,,
2,4,Monica Niculescu,ROU,,Agnes Szavay *,HUN,15,7 - 5,5 - 7,2 - 6,,,
2,5,Casey Dellacqua *,AUS,,Pauline Parmentier,FRA,,1 - 6,6 - 2,6 - 3,,,
